t,ulW,ulB,PCC_P,PCC_Q
-9.999999974752427e-07,0.9923931373820944,1.0000006543651228,0.9666680682187956,-0.3074584309457032
0.0,0.9923604780457596,0.9999909204989087,0.9666666467887824,-0.3074484457531855
2.5249999362131347e-05,0.9466868714322111,0.825621990026801,0.8970398381203404,-0.24986145133295634
5.049999872426269e-05,0.8802160373728546,0.6732958407241454,0.7942443002354044,-0.201140181768509
0.00010099999744852539,0.7116566931770532,0.4209389479127694,0.5694627625836935,-0.1204361321180425
0.00016810963030468843,0.47561652242407493,0.22797034855560402,0.31772105209969553,-0.05262303157288482
0.00026810962777847595,0.3279544399814799,0.18834672265219088,0.23273189936349356,-0.04043559730274582
0.00036810962525226347,0.461581383239636,0.3507872396751268,0.37806549245845295,-0.12521993197629355
0.000468109622726051,0.6036244283335125,0.46273941598615626,0.5782920023130308,-0.18933325309926016
0.0005681096201998386,0.449229005778474,0.36519094342053465,0.5460392932700664,-0.1353795860492951
0.0006681096176736261,0.2829937890797989,0.18424203964291275,0.2888711985003868,-0.019534834270571042
0.0007681096151474136,0.3039496312911904,0.2053724850548544,0.2738082698669247,-0.030477104246578464
0.0008681096126212011,0.4065716053199043,0.39300379594353635,0.4717199190356335,-0.17965660483512116
0.0009681096100949886,0.4452460849766471,0.42346410577333876,0.5818701344876459,-0.2172653569931494
0.0010681096075687761,0.2821166513862957,0.2514498012773791,0.38734815004943984,-0.08615263557693954
0.0011681096050425637,0.24034486589563836,0.18515273126993295,0.26793795478952487,-0.015439118964086932
0.0012681096025163512,0.2978007503319736,0.27483073804341207,0.33954404880448585,-0.09020333367733575
0.0013681095999901387,0.39295903783049285,0.3899399548595949,0.4668401046382302,-0.20789442257967233
0.0014681095974639262,0.3364957728689739,0.3666201788251176,0.48685004868313614,-0.2027117305781303
0.0015681095949377137,0.21064036929381613,0.21315278089601003,0.30663139526993866,-0.055800039316340894
0.0016681095924115012,0.23565186350575257,0.20320020005813533,0.2604354532333486,-0.023272342204601313
0.0017681095898852887,0.2995074380984108,0.33209236408356324,0.3631169252892385,-0.16089143032679093
0.0018681095873590763,0.35535964793555497,0.38526188868366484,0.43670120043282773,-0.22556125387774273
0.0019681095848328636,0.2644210820000203,0.2870640474429439,0.36138359212309457,-0.1335968952719688
0.002068109582306651,0.20309291651409977,0.21225032717991055,0.26588577930032,-0.04673217642049601
0.0021681095797804386,0.2523118792587066,0.2529901282261967,0.27854474197323914,-0.07631525722605131
0.002268109577254226,0.3162938091772807,0.34538581031416465,0.34328935286583945,-0.18535976544537747
0.0023681095747280136,0.3105604615760904,0.36034413439159996,0.37316537596039084,-0.21282463306949426
0.002468109572201801,0.21581099395246753,0.2514424699015965,0.2889888692141479,-0.0951648479096809
0.0025681095696755887,0.21524904167599918,0.22235522206766423,0.2418960950250431,-0.04385763779783341
0.002668109567149376,0.26544864699415066,0.2993020538641428,0.2778363432569981,-0.13945307516390845
0.0027681095646231637,0.3177948160123984,0.3525445366308399,0.31512968992682566,-0.20311815571409067
0.002868109562096951,0.2783146326068586,0.3104326485131257,0.30137950442472566,-0.1591659300433324
0.0029681095595707387,0.20945106568484878,0.24523802289289304,0.24804017418405333,-0.08184096773020139
0.0030681095570445262,0.23826456995970804,0.252690943270488,0.2376320745296075,-0.07775572585562988
0.0031681095545183138,0.2831970966557377,0.3162353713674873,0.2601808586765985,-0.1642615115754431
0.0032681095519921013,0.3028831625024782,0.34626301651262964,0.2768257440381951,-0.20421935486337026
0.003368109549465889,0.24706630369110902,0.2823257719038277,0.25357876173489063,-0.12366376151785861
